"","f1","f2"
"x1",0.608233055744831,0.293086518294942
"x2",0.71199238564993,0.243203868293951
"x3",0.614197891678373,0.353024218068896
"x4",0.517061626843667,0.283845538646256
"x5",0.354974364298471,0.328718613843419
"x6",0.552000145885093,0.432188921361557
"x9",0.354476732935899,0.199646216074987
"x12",0.394977567680752,0.3954356383429
"x13",0.317633306909318,0.370741424908862
"x15",0.420712314131644,0.411253532716631
"x17",0.249214331065495,0.55194240312096
"x18",0.312887427121746,0.618733638536437
"x19",0.382419613292181,0.269561458514413
"x21",0.39991582261004,0.403474326803523
"x24",0.394451852971587,0.294549703112136
"x26",0.835089059297656,-0.264887253257552
"x27",0.920261846691211,-0.329327287191749
"x28",0.714405030116598,-0.259139658724134
"x29",0.633877468047814,-0.266490458783686
"x30",0.70364778707729,-0.0667489950823114
"x31",0.471416476336136,0.10936969019177
"x32",0.542379973271178,0.0298300841368221
"x33",0.57762825594582,0.0758561362920432
"x36",0.464228072384494,0.105664461362655
"x38",0.511920253982704,0.424361358356385
"x39",0.452437355238914,0.258471954696555
"x40",0.602500598475603,0.124526099419244
"x41",0.51428153718757,0.299970930504748
"x42",-0.183646265098964,0.967088456909863
"x43",-0.122806009474841,0.907394885584207
"x44",-0.078698857839389,0.89089902459468
"x45",-0.163214326682395,0.78186756244489
"x46",0.306447466636841,0.467452074884424
"x47",0.210010712324042,0.546609699584911
"x48",0.557593586332981,0.222345613303526
"x49",0.547117775669677,0.130641571227905
"x50",0.52703763919557,0.0295545368909071
"x51",0.0612921778774523,0.898589955445933
"x52",0.215052015501145,0.840255842870947
